"filename", "language", "Batch", "C", "C++", "Shell Script", "XML", "Markdown", "comment", "blank", "total"
"d:\Projects\Ignis\code\.idea\code.iml", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 8
"d:\Projects\Ignis\code\.idea\copilot.data.migration.agent.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\Projects\Ignis\code\.idea\copilot.data.migration.edit.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\Projects\Ignis\code\.idea\editor.xml", "XML", 0, 0, 0, 0, 344, 0, 0, 0, 344
"d:\Projects\Ignis\code\.idea\modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 8
"d:\Projects\Ignis\code\.idea\vcs.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\Projects\Ignis\code\.idea\workspace.xml", "XML", 0, 0, 0, 0, 59, 0, 0, 0, 59
"d:\Projects\Ignis\code\ARCHITECTURE.md", "Markdown", 0, 0, 0, 0, 0, 1244, 0, 318, 1562
"d:\Projects\Ignis\code\README.md", "Markdown", 0, 0, 0, 0, 0, 28, 0, 10, 38
"d:\Projects\Ignis\code\build-all.bat", "Batch", 11, 0, 0, 0, 0, 0, 1, 5, 17
"d:\Projects\Ignis\code\build-all.sh", "Shell Script", 0, 0, 0, 19, 0, 0, 2, 6, 27
"d:\Projects\Ignis\code\engine\build.bat", "Batch", 13, 0, 0, 0, 0, 0, 4, 4, 21
"d:\Projects\Ignis\code\engine\build.sh", "Shell Script", 0, 0, 0, 10, 0, 0, 6, 5, 21
"d:\Projects\Ignis\code\engine\src\containers\darray.c", "C", 0, 97, 0, 0, 0, 0, 3, 19, 119
"d:\Projects\Ignis\code\engine\src\containers\darray.h", "C++", 0, 0, 48, 0, 0, 0, 10, 22, 80
"d:\Projects\Ignis\code\engine\src\core\application.c", "C", 0, 151, 0, 0, 0, 0, 24, 41, 216
"d:\Projects\Ignis\code\engine\src\core\application.h", "C++", 0, 0, 12, 0, 0, 0, 6, 10, 28
"d:\Projects\Ignis\code\engine\src\core\asserts.h", "C++", 0, 0, 44, 0, 0, 0, 1, 8, 53
"d:\Projects\Ignis\code\engine\src\core\clock.c", "C", 0, 14, 0, 0, 0, 0, 0, 4, 18
"d:\Projects\Ignis\code\engine\src\core\clock.h", "C++", 0, 0, 9, 0, 0, 0, 4, 4, 17
"d:\Projects\Ignis\code\engine\src\core\event.c", "C", 0, 86, 0, 0, 0, 0, 16, 23, 125
